request_id,provider_key,model,upstream_provider,cell_id,schema_variant,repeat_index,provider_response_id,source_trace_id,parser_status,parsed_json_type,output_key_count,required_key_count,unexpected_key_count,output_key_set_sha256,image_present_present,image_present_json_type,can_diagnose_present,can_diagnose_json_type,primary_diagnosis_present,primary_diagnosis_json_type,differentials_present,differentials_json_type,differentials_element_count,differentials_element_type_counts_json,differentials_all_elements_strings,confidence_present,confidence_json_type,confidence_passes_validator_type,confidence_is_finite,confidence_inclusive_zero_to_one,key_findings_present,key_findings_json_type,reasoning_present,reasoning_json_type,schema_valid,recomputed_schema_valid,schema_valid_matches_recomputed,source_raw_record_sha256,direct_extract_row_sha256,parsed_json_sha256,returned_content_sha256,retained_request_body_sha256
p2-anthropic-C1-S0-000,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,0,gen-1783529808-7HhxaS5p8TbJkUZ2Rhca,non_google,parsed_json_object,object,7,7,0,9e7acd1c6dfa2835637dcc60f2cfc26c3b468d2ab802ab7cbf48c1420310dccc,True,boolean,True,boolean,True,null,True,array,0,{},True,True,number,True,True,True,True,string,True,string,True,True,True,f8bb1c94d9df7257760f6135603c5cd2fcca77f129dffd366005b66c83c13993,85aaa4e948297ff891bc2d248d5d71f0decbbf547f5a8f65467ada81f8e1375b,f1c73adff7137bb346d2dc4a7c9ce0900453fb94718df798c8116f481c1545dd,e74049c8507222f01479ee3db464dddcf12ce865cb554949ae24caa5334ab7c1,1aa75a4cd01cef67e42b768c4f387e8375dbd70b520a14f3cfb977e31680034f
p2-anthropic-C1-S0-001,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,1,gen-1783529808-GmKfYLUUGmDGqAnEq73m,non_google,parsed_json_object,object,7,7,0,9e7acd1c6dfa2835637dcc60f2cfc26c3b468d2ab802ab7cbf48c1420310dccc,True,boolean,True,boolean,True,null,True,array,0,{},True,True,number,True,True,True,True,string,True,string,True,True,True,fb00e3d5b1bf3bc83c1ae54884ddae9554aa9d51bcba072caed8758bfa294adc,62b4e38eeb076044dae8ad3c048be71e79ec0a05bcca86c40ac3dc13195837e8,167dd8211bd84bfeafd51d3ad47b4c33e731993dfc0e077b0ed754f4dab7b87d,d1b1fd7500e3519eefec175e831984d3b3d259e344217ddcd68b719f657a5441,85301e616baefaea8c56c33886b658233cd68e89fe94b25910c42e6eb197fddf
p2-anthropic-C1-S0-002,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,2,gen-1783530070-YlZerAljxNHU5H6zJiKv,non_google,parsed_json_object,object,7,7,0,9e7acd1c6dfa2835637dcc60f2cfc26c3b468d2ab802ab7cbf48c1420310dccc,True,boolean,True,boolean,True,null,True,array,0,{},True,True,number,True,True,True,True,string,True,string,True,True,True,b41b95104dde867e64780599f5767a314cc7ea32190296b2af59da893cd5daf4,bea092c60191f89446acf06c0c41c2f2cdeb29b1dd1ec3f698053aed4b1fd4bd,9b9662a6915286a8198f4d9971e6fefc5da812cb2e2d15b2f11de15137b39b64,e9910c603ebea7b3ab5f57b1f140136eb5478eca4b9f4dba7ee6c14c39834676,013ba3ea75f94214e77ee00600a4adfbf9edb58724a75f8231ba8eb1abb5463a
p2-anthropic-C1-S0-003,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,3,gen-1783530070-h90wOOec6qcEVZWtaVER,non_google,parsed_json_object,object,7,7,0,9e7acd1c6dfa2835637dcc60f2cfc26c3b468d2ab802ab7cbf48c1420310dccc,True,boolean,True,boolean,True,null,True,array,0,{},True,True,number,True,True,True,True,string,True,string,True,True,True,6ef9db8e8921899a90adac595716109d197f189a55cf34bd056333b1e54ee3d3,313977b38fb93926cf1a81e224beae40cdcdb2bc5f50b025644ede5554fd8545,7f169f3314718a3eb36af138b2ecdc296e8467d8d7eedb3a7a4fe5c107d04671,c412421708c26e5a279fa64da9894da55d31ce44369d4ba068047dd92befea78,621b921bc19b910326d7b02177f4f0259204ba24b00f0c3361755094deb81198
p2-anthropic-C1-S0-004,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,4,gen-1783530070-jw2F9EcAUS8Ja0YRPv7B,non_google,parsed_json_object,object,7,7,0,9e7acd1c6dfa2835637dcc60f2cfc26c3b468d2ab802ab7cbf48c1420310dccc,True,boolean,True,boolean,True,null,True,array,0,{},True,True,number,True,True,True,True,string,True,string,True,True,True,2d6e58b6238d9ee257b535c437f64f4f3ef55991eba721cee3d1233edacc69f7,0b5f339ba06aecc616118c6dfc03cf6ef2095d735986358068b2db4e89d01a68,cd5d4a2d16241611906af5648c3c31cd95a9dded9ad91cff4ce015c8f1807622,2284a7420f315afe747396a7180efa4120220555162c8db4082c44f8fb767e59,92c3fef59537f08fcf6a8db8ea0ed69a5d55204b91d73ed8cb8c121c7319f3ae
p2-anthropic-C1-S0-005,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,5,gen-1783530070-xicfSyoeTOHkZLQhjQTm,non_google,parsed_json_object,object,7,7,0,9e7acd1c6dfa2835637dcc60f2cfc26c3b468d2ab802ab7cbf48c1420310dccc,True,boolean,True,boolean,True,null,True,array,0,{},True,True,number,True,True,True,True,string,True,string,True,True,True,e6503eae001568e580873944a8788e796f9f741e3a9cb637a4cdecddbe35f913,9bea2a72724d17d3cb3aeb77d6f98071f410518cf0a68fc1a1107a828b07e2d4,05a6a4f5f932f9437a3b757a48f6db829ff4414d9bd74fa002d2c7df484d7ee4,09039655a6a2378f3f7327f72feb8cb60b310a30152bac96186a9bef229cff70,0b7deb43aaf9ae7878aa823a0881071c1a39604bebc5531e36a47815345b58d1
p2-anthropic-C1-S0-006,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,6,gen-1783530070-bs6Tw8pCxA9DRoXgslkT,non_google,parsed_json_object,object,7,7,0,9e7acd1c6dfa2835637dcc60f2cfc26c3b468d2ab802ab7cbf48c1420310dccc,True,boolean,True,boolean,True,null,True,array,0,{},True,True,number,True,True,True,True,string,True,string,True,True,True,e66a2fae90dcbc891344173e0f0403248ce8d9bdfe5a6f7a37519c7734434af7,a8cc88b00ab1137f0e9352f77d22f31e1d5d47e1bba0bdc1961e3196498a33a2,e2f1c4a84b72aa92e3c4a1ca1605cade8a5228784e58172b46bd4dd1a80f9484,b05f0189526d7e0fa3c03911cdf0cee14013ddbab4f15071a1a85cc4b54d2759,77003be43b3e5f56042edd8df6e3d7777fa39e4ffe530d889754b983985117cc
p2-anthropic-C1-S0-007,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,7,gen-1783530310-C2q4auoNv5nS8MHTwCrt,non_google,parsed_json_object,object,7,7,0,9e7acd1c6dfa2835637dcc60f2cfc26c3b468d2ab802ab7cbf48c1420310dccc,True,boolean,True,boolean,True,null,True,array,0,{},True,True,number,True,True,True,True,string,True,string,True,True,True,3cfac15e8f80882d914ab204b37dbb3f0a103af580064d564120b09d3bb2280e,dff4b3f50488fb429644ff2823a5e9206f6532cbb045196f699ef8d8cf3dfda0,fcb011a8e48a123d1082928d97cca4d0bf7f253ea7c819aa9e29b3c2fbdbbea6,578f12e19c9b1dbf4023a0e488a6f70f45100d64c53cb0ad75ec9fde449f9a45,371f805c59be02bfa86fc29faab482fe40d76d429a880d5d1e763fb8662d2e25
p2-anthropic-C1-S0-008,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,8,gen-1783530310-RDjUHp87DhzDHy9qTFGr,non_google,parsed_json_object,object,7,7,0,9e7acd1c6dfa2835637dcc60f2cfc26c3b468d2ab802ab7cbf48c1420310dccc,True,boolean,True,boolean,True,null,True,array,0,{},True,True,number,True,True,True,True,string,True,string,True,True,True,2fce58eb715d9e1f55f39722ced16acec3db86a82c02794f778103bbf01eaf81,22a2df92fa38a5f41bbdc63182fb0f8f2d3117182903b8eaddaef43d89ed82ac,5d2fafca12dfa1426c7818c0c85974f5662789f9d87d27d08d260f0b4fcec999,68f2912c2dc051177062785b0b40a8e33760b655fefec54f31e557b068e53f59,1b2fe8f397f4501db6e90bf5c060a031708700678d7d98de20ede40220c69b95
p2-anthropic-C1-S0-009,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,9,gen-1783530310-LxgHyWek6FjPlZAwabJV,non_google,parsed_json_object,object,7,7,0,9e7acd1c6dfa2835637dcc60f2cfc26c3b468d2ab802ab7cbf48c1420310dccc,True,boolean,True,boolean,True,null,True,array,4,"{""string"":4}",True,True,number,True,True,True,True,string,True,string,True,True,True,05961374ed8366eecdd18dc1793dc15e5e81be98e01f1d9727350d3185021f74,ad3760754f54955b9e96f07d007bbbceb133b868e12b46e471619d9c0d338df8,ac676056d586a0b7aa80dfce08209c2cff5375b3ebd57ee39582c199d9644787,5783961fc272ae6e601892e4cac1cb878683f995c4a581f0112eacf2d6cf75fc,18f03ef14a6670cf865a5f8aeca84f3639fe1fb6428d621ea1d0d73f7836ff38
