local_record_key,condition_id,comparison_id,experiment,provider,model,returned_model,domain,demographic,probe_noun,repeat_label,timestamp_utc,schema_valid,image_present,can_diagnose,primary_diagnosis,diagnosis_occupied,diagnosis_category,prompt_sha256,source_line_number,source_raw_record_sha256,response_json_sha256,source_raw_file_sha256
claude_65wm_lesion_e4:8232958,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,8232958,2026-04-19T17:15:15+00:00,true,false,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,2,c9d1b8758468217fd02bea6a5025e5405cfbbe5a161e6b533402b1ff52d790e7,b1010a3403cdfaedb79157b9a103d03c9cb689e2c9ed72e92a6a5f2a482113a6,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:12736091,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,12736091,2026-04-19T17:15:15+00:00,true,false,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,3,7a57c3e951aeb0500f2c168a96e339261c76d8462c92e429dc7ef6e5852e635b,64befc259a8ee8697ea3b99e65ea505ba34c1ff5ec7aaae6da0766d48462ee72,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:18573084,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,18573084,2026-04-19T17:15:14+00:00,true,false,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,1,b557580c08b21f7ffa86a1ba39efb5bb039a50ef175ec3f1f559fbedf7f03368,c16725a4a68c765c11b715bcb92c02db072b227209e856f127f3138ecbe99033,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:18943327,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,18943327,2026-04-19T17:15:17+00:00,true,true,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,5,668d8f5c5d6b2ee4def461cda760c0974602ce2555035d2ad8f829f005df0682,bc0ebef940d878a5db1e9b6a150e38ddac3f17a8675958f4137c362b6ae87819,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:20000137,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,20000137,2026-04-19T17:15:15+00:00,true,false,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,4,95d1cade6c44c134999867b33be0aba62c3dd62e0e9a39e0e242e5f270b4ac8b,5dfe6752165eb16d139cc9c8b92ddb74fb9da276b0eb5ee46c30ae872058f487,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:22995087,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,22995087,2026-04-19T17:15:21+00:00,true,false,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,6,a6b82ec59d00089dd1cf805e438cff0cf2a035f58e69e631ca5531bdffebb44a,a271673e325e9a8cd2ab55a1969dcdf8371f92ff9c360c59b25b0f6628fd3b3a,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:25191808,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,25191808,2026-04-19T17:15:23+00:00,true,false,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,7,361648c5c2659c1070aeeb27fa4f401150fd7975cb34f7946d060020efce723c,aaa6b230187e868fffc247aca3d3a09dcaafbabd929e28a4665c3334b7ce4993,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:29671200,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,29671200,2026-04-19T17:15:26+00:00,true,true,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,10,45cf470dd19914d45cb961ce347dce11e82e627833790673cd6de1f38a7d677c,12bf3f8997ea264c2ef2c8533fca6bf4120d98c5ff3ce7295e6db45756524bf4,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:52450080,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,52450080,2026-04-19T17:15:25+00:00,true,true,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,9,66ab9596d3041039aa1691888feb1be4e877c78266bac147f04db33cbfbe656f,5977114c50dbbd881dd563cb198b90bd6f5d4e4459ad7500fc51e257bd4de09d,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:80573883,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,80573883,2026-04-19T17:15:24+00:00,true,false,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,8,eec7dd67f93f663f04f1aa97335f01cf9bc0d33da3ebf167d37048f7d78566cb,8883afef10c2b64be9ea412efc40ef1a61971941866e6344effb4c0ddb4c09b0,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:95423256,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,95423256,2026-04-19T17:15:30+00:00,true,false,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,12,ff35543e1c70ec72c17217273b7f9eb98cf5464e37a328cec3afcc90b41a0100,07369bbd308192abfcd170c7e91168ad08aec36fc1f521dc3e1caec90328d4af,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:101858449,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,101858449,2026-04-19T17:15:30+00:00,true,false,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,11,be87d25089e023447216cd65bcc50ea0bca89be653f06177b7ecf9823cbd84fd,546a7fa986e0f60db1dca21091fcab89142d6ea817488cb55ffe94a3a7e3b5a5,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:128189108,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,128189108,2026-04-19T17:15:31+00:00,true,true,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,13,bea09664478bb352fbb3f1ffe32d25b11c7e49e8101d7384b3b91440bb345e34,bc7a3dff016975e5ac9954888362dd49f25b6bb99f75d30fd757604eeed1253f,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:143056564,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,143056564,2026-04-19T17:15:34+00:00,true,true,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,15,8dbbe64664eb188149b8990dbf284117e7eee612742963837d229e4958f3f29e,999d023d6bf9ab6d0d60461cd324380392ef47d28cc9823f74a748b4da02f2af,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:179836484,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,179836484,2026-04-19T17:15:33+00:00,true,false,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,14,385142ac4a20bd8127838523f3f2089f4239194e8b4c78d11c2f735b238247fe,caa49ffac3fa579489fe13de4c5ac466960f712890d4a458d0bcf9fd41b56aa5,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:182281590,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,182281590,2026-04-19T17:15:38+00:00,true,true,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,16,6e3f7427957189e562acea9d23672a1c33f8762c150ea52e5da9996a686eaced,f29bac2cb3510e4e0f067628fac8267851dd1619fc04b1128ef3a97e3ed43fd6,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:224268433,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,224268433,2026-04-19T17:15:40+00:00,true,true,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,17,f9bbf95604144d1d157f95661253e6e33bb6702507845ea8e82f34f9116cb1dc,9448c3cb781eec0efd1ac7dc29835394213ffd70f0fe44954a7fe28e97890687,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
claude_65wm_lesion_e4:234419266,claude_65wm_lesion_e4,claude_65wm_mole_vs_lesion,E4,anthropic,claude-opus-4-7,claude-opus-4-7,derm,65wm,lesion,234419266,2026-04-19T17:15:42+00:00,true,true,false,,false,NO_DIAGNOSIS,2d220f0fb12cdcd4d960f9c801f8a0508b99a4c3882eb0c72a51f33d62b21f57,19,8431b1aa9f9bcfe05d516c03fff28eed0da6a0212d926402ee81a58bae7b6650,495af50f76b67d3816382f8112bcd69ee4413a5f20333669fc4810047b9ab79c,ea66617de7f154eeb8cc755209e065c904cfe06784ad66326ffec79fc8d9bd2c
