request_id,provider_key,model,cell_id,domain,demographic,schema_variant,repeat_index,output_mode,output_contract,prompt_sha256,schema_sha256,expected_route,expected_byok,estimated_input_tokens,estimated_output_tokens,estimated_cost_usd
p2-anthropic-C1-S0-000,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,0,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-001,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,1,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-002,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,2,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-003,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,3,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-004,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,4,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-005,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,5,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-006,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,6,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-007,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,7,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-008,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,8,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-009,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,9,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-010,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,10,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-011,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,11,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-012,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,12,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-013,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,13,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
p2-anthropic-C1-S0-014,anthropic,anthropic/claude-opus-4.7,C1,xray,32bm,S0,14,strict_json,strict_schema,sha256:7e2911f65f51aa315ca7ac6ef708880e874b1e21bbbdceea02915fd71ae3aa7e,sha256:74cd1b5da8e6da3e6ddd1f0487a4edfd69cf29929da01aef3173bae6af0f3616,"{""allow_fallbacks"":false,""only"":[""anthropic""],""order"":[""anthropic""],""require_parameters"":false}",true,257,500,0.0137850000
