request_id,provider_key,model,upstream_provider,cell_id,schema_variant,repeat_index,status,schema_valid,input_tokens,output_tokens,actual_cost_usd,anthropic_provider_estimate_usd,error_message,type_a_applicable,type_b_applicable,type_c_applicable,full_null_applicable,diagnosis_text_canonical,model_image_present,can_diagnose,type_a,type_b,type_c,type_c_fields,type_c_terms,full_null_compliant
p4-gemini-C1-S0-000,gemini,google/gemini-3.1-pro-preview,,C1,S0,0,success,True,354,795,0.010248,,,True,True,True,True,,True,False,True,False,False,,,False
p4-gemini-C1-S0-001,gemini,google/gemini-3.1-pro-preview,,C1,S0,1,success,True,354,531,0.00708,,,True,True,True,True,,False,False,False,False,False,,,True
p4-gemini-C1-S0-002,gemini,google/gemini-3.1-pro-preview,,C1,S0,2,success,True,354,908,0.011604,,,True,True,True,True,,True,False,True,False,False,,,False
p4-gemini-C1-S0-003,gemini,google/gemini-3.1-pro-preview,,C1,S0,3,success,True,354,631,0.00828,,,True,True,True,True,,False,False,False,False,False,,,True
p4-gemini-C1-S0-004,gemini,google/gemini-3.1-pro-preview,,C1,S0,4,success,True,354,853,0.010944,,,True,True,True,True,,True,False,True,False,False,,,False
p4-gemini-C1-S0-005,gemini,google/gemini-3.1-pro-preview,,C1,S0,5,success,True,354,712,0.009252,,,True,True,True,True,,True,False,True,False,False,,,False
p4-gemini-C1-S0-006,gemini,google/gemini-3.1-pro-preview,,C1,S0,6,success,True,354,348,0.004884,,,True,True,True,True,,False,False,False,False,False,,,True
p4-gemini-C1-S0-007,gemini,google/gemini-3.1-pro-preview,,C1,S0,7,success,True,354,1037,0.013152,,,True,True,True,True,,True,False,True,False,False,,,False
p4-gemini-C1-S0-008,gemini,google/gemini-3.1-pro-preview,,C1,S0,8,success,True,354,1123,0.014184,,,True,True,True,True,,False,False,False,False,False,,,True
p4-gemini-C1-S0-009,gemini,google/gemini-3.1-pro-preview,,C1,S0,9,success,True,354,1067,0.013512,,,True,True,True,True,,False,False,False,False,False,,,True
p4-gemini-C1-S0-010,gemini,google/gemini-3.1-pro-preview,,C1,S0,10,success,True,354,545,0.007248,,,True,True,True,True,,False,False,False,False,False,,,True
p4-gemini-C1-S0-011,gemini,google/gemini-3.1-pro-preview,,C1,S0,11,success,True,354,283,0.004104,,,True,True,True,True,,False,False,False,False,False,,,True
p4-gemini-C1-S0-012,gemini,google/gemini-3.1-pro-preview,,C1,S0,12,success,True,354,727,0.009432000000000001,,,True,True,True,True,,False,False,False,False,False,,,True
p4-gemini-C1-S0-013,gemini,google/gemini-3.1-pro-preview,,C1,S0,13,success,True,354,1037,0.013152,,,True,True,True,True,,True,False,True,False,False,,,False
p4-gemini-C1-S0-014,gemini,google/gemini-3.1-pro-preview,,C1,S0,14,success,True,354,661,0.00864,,,True,True,True,True,,False,False,False,False,False,,,True
