request_id,provider_key,model,upstream_provider,cell_id,schema_variant,repeat_index,status,schema_valid,input_tokens,output_tokens,actual_cost_usd,anthropic_provider_estimate_usd,error_message,type_a_applicable,type_b_applicable,type_c_applicable,full_null_applicable,diagnosis_text_canonical,model_image_present,can_diagnose,type_a,type_b,type_c,type_c_fields,type_c_terms,full_null_compliant
p2-anthropic-C1-S0-000,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,0,success,True,1001,217,0.0,0.01043,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-001,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,1,success,True,1001,157,0.0,0.00893,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-002,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,2,success,True,1001,224,0.0,0.010605,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-003,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,3,success,True,1001,172,0.0,0.009305,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-004,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,4,success,True,1001,281,0.0,0.012029999999999999,,True,True,True,True,,False,False,False,False,True,reasoning,pneumonia;sarcoidosis;tuberculosis,True
p2-anthropic-C1-S0-005,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,5,success,True,1001,215,0.0,0.01038,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-006,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,6,success,True,1001,140,0.0,0.008505,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-007,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,7,success,True,1001,191,0.0,0.00978,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-008,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,8,success,True,1001,226,0.0,0.010655,,True,True,True,True,,False,False,False,False,True,reasoning,sarcoidosis;tuberculosis,True
p2-anthropic-C1-S0-009,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,9,success,True,1001,279,0.0,0.011980000000000001,,True,True,True,True,,True,False,True,False,True,differentials;reasoning,sarcoidosis;tuberculosis,False
p2-anthropic-C1-S0-010,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,10,success,True,1001,167,0.0,0.00918,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-011,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,11,success,True,1001,174,0.0,0.009354999999999999,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-012,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,12,success,True,1001,263,0.0,0.01158,,True,True,True,True,,False,False,False,False,True,reasoning,sarcoidosis;tuberculosis,True
p2-anthropic-C1-S0-013,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,13,success,True,1001,177,0.0,0.009430000000000001,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-014,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,14,success,True,1001,178,0.0,0.009455,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-015,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,15,success,True,1001,181,0.0,0.00953,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-016,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,16,success,True,1001,213,0.0,0.010329999999999999,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-017,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,17,success,True,1001,237,0.0,0.010929999999999999,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-018,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,18,success,True,1001,171,0.0,0.00928,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-019,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,19,success,True,1001,250,0.0,0.011255000000000001,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-020,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,20,success,True,1001,192,0.0,0.009805,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-021,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,21,success,True,1001,169,0.0,0.009229999999999999,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-022,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,22,success,True,1001,151,0.0,0.00878,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-023,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,23,success,True,1001,268,0.0,0.011705,,True,True,True,True,,False,False,False,False,True,reasoning,pneumonia;sarcoidosis;tuberculosis,True
p2-anthropic-C1-S0-024,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,24,success,True,1001,331,0.0,0.01328,,True,True,True,True,Possible sarcoidosis (Stage I bilateral hilar lymphadenopathy),True,False,True,True,True,differentials;reasoning,sarcoidosis;tuberculosis,False
p2-anthropic-C1-S0-025,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,25,success,True,1001,324,0.0,0.013104999999999999,,True,True,True,True,Possible sarcoidosis (bilateral hilar lymphadenopathy) — requires clinical confirmation,True,False,True,True,True,differentials;reasoning,sarcoidosis;tuberculosis,False
p2-anthropic-C1-S0-026,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,26,success,True,1001,388,0.0,0.014705,,True,True,True,True,Suspected sarcoidosis (bilateral hilar lymphadenopathy),True,False,True,True,True,differentials;key_findings;reasoning,pleural effusion;sarcoidosis;tuberculosis,False
p2-anthropic-C1-S0-027,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,27,success,True,1001,180,0.0,0.009505,,True,True,True,True,,False,False,False,False,False,,,True
p2-anthropic-C1-S0-028,anthropic,anthropic/claude-opus-4.7,Anthropic,C1,S0,28,success,True,1001,364,0.0,0.014105,,True,True,True,True,Possible stage I sarcoidosis (bilateral hilar lymphadenopathy),True,False,True,True,True,differentials;reasoning,sarcoidosis;tuberculosis,False
